MACHINATED	mxch3 chiin0 neet3 thet1
MACHINATES	mxch3 chiin0 neet1
MACHINATING	mxch3 chiin0 neet3 ting2
MACHINATION	mxch3 chiin0 nee0 chan2
MACHINATIONS	mxch3 chiin0 nee0 chan2
MACHINATOR	mxch3 chiin0 nee0 tqq2
MACHINE	mxch3 chiin0
MACHINEABLE	mxch3 chiin0 nee0 bql2
MACHINED	mxch3 chiin0
MACHINELIKE	mxch3 chiin0 laj3
MACHINER	mxch3 chiin0 nqq2
MACHINERIES	mxch3 chiin0 nq1 rii2
MACHINERY	mxch3 chiin0 nq1 rii2
MACHINES	mxch3 chiin0
MACHING	mxch3 ching2
MACHINING	mxch3 chii0 ning2
MACHINISES	mxch3 chii0 nis1 ses1
MACHINIST	mxch3 chii0 nis3
MACHINISTS	mxch3 chii0 nis3
MACHINS	mxch3 chiin2
MACHIS		mq1 chis1
MACHISMA	mq1 chis3 mqq2
MACHISMO	mq1 chis3 moo2
MACHISMOS	mq1 chis3 moos2
MACHOLD	mxk3 hool0
MACHOSE	mxk3 hoos3
MACHS	maak0
MACING	mxk3 sing2
MACINNES	mxk3 khin2
MACINTIRE	mxk3 khin0 thaaj0
MACINTOSH	mxk3 khin0 th@ch3
MACINTOSHES	mxk3 khin0 th@ch3 ches1
MACINTOSHS	mxk3 khin0 th@ch3 ches1
MACINTYRE	mxk3 khin0 thaaj0
MACINTYRES	mxk3 khin0 thaaj0
MACISAAC	mxk3 chi1 sxxk1
MACIVER	mxk3 chiif3 wqq2
MACIVOR	mxk3 chiif3 wqq2
MACKAY	mxxk3 kee0
MACKAYS	mxxk3 kees2
MACKED		mxk3
MACKEITH	mxk3 khiit3
MACKEN		mxk3 ken2
MACKENDRICK	mxk3 ken2 drik1
MACKER		mxk3 kqq2
MACKEREL	mxk3 khq1 reel0
MACKERELING	mxk3 khq1 reel0 ling2
MACKERELL	mxk3 khq1 reel0
MACKERELLED	mxk3 khq1 reel0
MACKERELS	mxk3 khq1 reel0
MACKEY		mxk3 kii2
MACKEYS	mxk3 kii2
MACKIN		mxk3 kin2
MACKINLAY	mxk3 kin0 lee2
MACKINLAYS	mxk3 kin0 lee2
MACKINLEY	mxk3 kin0 lee2
MACKINNELL	mxk3 kin0 neel0
MACKINNON	mxk3 kin0 n@n2
MACKINNONS	mxk3 kin0 n@n2
MACKINS	mxk3 kin2
MACKINSEY	mxk3 kin0 sii2
